번호,발생시각,년,월 ,일,규모,위도,경도,위치,위도(숫자)
335,2017-05-25,2017,5,25,3,36.96 N,124.40 E,충남 태안군 서격렬비도 서북서쪽 109km 해역,36.96 
334,2017-05-20,2017,5,20,2.9,37.73 N,129.62 E,강원 동해시 동북동쪽 50km 해역,37.73 
333,2017-05-20,2017,5,20,2,35.92 N,128.27 E,경북 성주군 북서쪽 1km 지역,35.92 
332,2017-05-16,2017,5,16,2.2,36.60 N,128.92 E,경북 안동시 동북동쪽 17km 지역,36.60 
331,2017-05-16,2017,5,16,2.1,36.85 N,124.55 E,충남 태안군 서격렬비도 서북서쪽 92km 해역,36.85 
330,2017-05-13,2017,5,13,2.8,36.61 N,129.44 E,경북 영덕군 북북동쪽 23km 해역,36.61 
329,2017-05-10,2017,5,10,2.1,36.61 N,129.45 E,경북 영덕군 북북동쪽 23km 해역,36.61 
328,2017-05-10,2017,5,10,2.5,35.88 N,126.19 E,전북 부안군 위도 북북서쪽 32km 해역,35.88 
327,2017-05-05,2017,5,5,3,35.32 N,127.43 E,전남 구례군 북북서쪽 13km 지역,35.32 
326,2017-05-05,2017,5,5,2,36.73 N,128.10 E,경북 문경시 북북서쪽 18km 지역,36.73 
325,2017-05-04,2017,5,4,2.4,36.74 N,128.10 E,경북 문경시 북북서쪽 18km 지역,36.74 
324,2017-05-04,2017,5,4,2.6,36.61 N,129.44 E,경북 영덕군 북북동쪽 22km 해역,36.61 
323,2017-04-28,2017,4,28,2.1,36.60 N,128.81 E,경북 안동시 동북동쪽 8km 지역,36.60 
322,2017-04-28,2017,4,28,2.4,33.33 N,127.85 E,제주 서귀포시 성산 동쪽 90km 해역,33.33 
321,2017-04-20,2017,4,20,3.2,33.77 N,127.28 E,전남 여수시 거문도 남쪽 29km 해역,33.77 
320,2017-04-18,2017,4,18,2.1,35.50 N,128.88 E,경남 밀양시 동쪽 12km 지역,35.50 
319,2017-04-18,2017,4,18,2,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
318,2017-04-16,2017,4,16,2.2,36.70 N,125.18 E,충남 태안군 서격렬비도 서북서쪽 33km 해역,36.70 
317,2017-04-15,2017,4,15,2,36.11 N,129.37 E,경북 포항시 북구 북쪽 8km 지역,36.11 
316,2017-04-15,2017,4,15,3.1,36.11 N,129.36 E,경북 포항시 북구 북쪽 8km 지역,36.11 
315,2017-04-15,2017,4,15,2.2,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
314,2017-04-10,2017,4,10,2.3,35.16 N,128.77 E,경남 창원시 진해구 동북동쪽 6km 지역,35.16 
313,2017-04-09,2017,4,9,2.4,38.99 N,126.20 E,북한 평안남도 성천 남쪽 28km 지역,38.99 
312,2017-04-09,2017,4,9,2.1,35.76 N,129.20 E,경북 경주시 남쪽 9km 지역,35.76 
311,2017-04-08,2017,4,8,2.1,38.72 N,125.61 E,북한 황해북도 송림 북북서쪽 2km 지역,38.72 
